package,source_slug,csv_path,review_item,sample_size,reviewer,status,notes,reviewed_at
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-souffrances-endurees.csv,Conferma TI 2020 (edition Magistrats/Avocats) come versione di riferimento storica,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-souffrances-endurees.csv,7 categorie Julin 1_7..7_7 con label francesi corretti,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-souffrances-endurees.csv,9 fasce eta coprono range completo (0-10..>=81),N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-souffrances-endurees.csv,Spot-check 9 righe (3 severita estreme x 3 fasce eta),9,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-souffrances-endurees.csv,Conferma uso come historical_fallback finche BE 2024 non e approved,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-esthetique.csv,Decisione tassonomica: filename vs row_type (mantenere/rinominare/split),N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-esthetique.csv,71 fasce eta granularita 1 anno coprono range PDF (0-15..>=97),N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-esthetique.csv,Spot-check 7 righe (eta 0-15 16 30 50 70 90 >=97),7,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-esthetique.csv,Conferma unita = annuo per 1 percento incapacite,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-deces-affection.csv,13 relazioni coprono schema BE 2020,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-deces-affection.csv,Decisione: tassonomia BE 2020 (13) come fallback vs BE 2024 (5) quando approvata,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-prejudice-deces-affection.csv,Spot-check 13 righe (tutte),13,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-vehicule-remplacement.csv,19 tipi veicolo coprono schema p.32,N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-vehicule-remplacement.csv,Decisione su caso skipped camions >=3.5t (CalculationFormula 50+10*tonnes vs out of scope),N/A,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2020,legal_data/sources/belgium/tableau_indicatif_2020/be-ti-2020-vehicule-remplacement.csv,Spot-check 19 righe (tutte),19,,pending,,
F-belgium-legal-review-package,be-tableau-indicatif-2024,N/A,WARNING: BE 2024 OCR NOT READY — verificare coerenza con BELGIUM_TI_2024_OCR_SPIKE_REPORT.md,N/A,,pending,Bloccato finche fra/nld lang pack non installati e re-spike OCR non eseguito,
F-belgium-legal-review-package,be-tableau-indicatif-2024,N/A,Decisione strategica: opzione D+B (raccomandata) vs C (manuale completa),N/A,,pending,Vedi BELGIUM_TI_2024_OCR_SPIKE_REPORT.md sezione 9,
F-belgium-legal-review-package,be-tableau-indicatif-2024,N/A,Vietato OCR puro -> CSV (opzione A): equivale a inventare valori legali,N/A,,pending,,
F-belgium-legal-review-package,be-loi-1989-11-21-rc-auto,legal_data/sources/belgium/downloaded/be-loi-1989-11-21-rc-auto.html,Lettura testo + decisione: fonte di citazione legale RC auto (no tabella) per MVP,N/A,,pending,,
F-belgium-legal-review-package,be-tables-schryvers-2026-page,legal_data/sources/belgium/downloaded/be-tables-schryvers-2026-page.html,Decisione: scaricare tableurs Schryvers (Excel) o rinviare nel MVP,N/A,,pending,,
F-belgium-legal-review-package,be-tables-schryvers-tableurs,legal_data/sources/belgium/downloaded/be-tables-schryvers-tableurs.html,Decisione: scaricare tableurs Schryvers (Excel) o rinviare nel MVP,N/A,,pending,,
